cell_id,recipe_id,model,calibration,weighting,downsampling,cell_name,training_config,pipeline_config
1,R1_sig,LinSVM_cal,logistic_intercept,log,1.0,LinSVM_cal_logistic_intercept_log_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_log_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_log_ds1/pipeline_hpc.yaml
2,R1_sig,LinSVM_cal,logistic_intercept,log,2.0,LinSVM_cal_logistic_intercept_log_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_log_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_log_ds2/pipeline_hpc.yaml
3,R1_sig,LinSVM_cal,logistic_intercept,log,5.0,LinSVM_cal_logistic_intercept_log_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_log_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_log_ds5/pipeline_hpc.yaml
4,R1_sig,LinSVM_cal,logistic_intercept,sqrt,1.0,LinSVM_cal_logistic_intercept_sqrt_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_sqrt_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_sqrt_ds1/pipeline_hpc.yaml
5,R1_sig,LinSVM_cal,logistic_intercept,sqrt,2.0,LinSVM_cal_logistic_intercept_sqrt_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_sqrt_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_sqrt_ds2/pipeline_hpc.yaml
6,R1_sig,LinSVM_cal,logistic_intercept,sqrt,5.0,LinSVM_cal_logistic_intercept_sqrt_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_sqrt_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_sqrt_ds5/pipeline_hpc.yaml
7,R1_sig,LinSVM_cal,logistic_intercept,none,1.0,LinSVM_cal_logistic_intercept_none_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_none_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_none_ds1/pipeline_hpc.yaml
8,R1_sig,LinSVM_cal,logistic_intercept,none,2.0,LinSVM_cal_logistic_intercept_none_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_none_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_none_ds2/pipeline_hpc.yaml
9,R1_sig,LinSVM_cal,logistic_intercept,none,5.0,LinSVM_cal_logistic_intercept_none_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_none_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_logistic_intercept_none_ds5/pipeline_hpc.yaml
10,R1_sig,LinSVM_cal,beta,log,1.0,LinSVM_cal_beta_log_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_log_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_log_ds1/pipeline_hpc.yaml
11,R1_sig,LinSVM_cal,beta,log,2.0,LinSVM_cal_beta_log_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_log_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_log_ds2/pipeline_hpc.yaml
12,R1_sig,LinSVM_cal,beta,log,5.0,LinSVM_cal_beta_log_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_log_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_log_ds5/pipeline_hpc.yaml
13,R1_sig,LinSVM_cal,beta,sqrt,1.0,LinSVM_cal_beta_sqrt_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_sqrt_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_sqrt_ds1/pipeline_hpc.yaml
14,R1_sig,LinSVM_cal,beta,sqrt,2.0,LinSVM_cal_beta_sqrt_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_sqrt_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_sqrt_ds2/pipeline_hpc.yaml
15,R1_sig,LinSVM_cal,beta,sqrt,5.0,LinSVM_cal_beta_sqrt_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_sqrt_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_sqrt_ds5/pipeline_hpc.yaml
16,R1_sig,LinSVM_cal,beta,none,1.0,LinSVM_cal_beta_none_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_none_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_none_ds1/pipeline_hpc.yaml
17,R1_sig,LinSVM_cal,beta,none,2.0,LinSVM_cal_beta_none_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_none_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_cal_beta_none_ds2/pipeline_hpc.yaml
